fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-02-20,AA,AA,AA,563,AA,N283AY,563,14100,PHL,"Philadelphia, PA",11057,CLT,"Charlotte, NC",635,627,-8,24,651,818,14,822,832,10,0,,0,N,107,125,87,1,449,,,,,,,,,
2019-02-20,AA,AA,AA,589,AA,N914UY,589,14100,PHL,"Philadelphia, PA",12889,LAS,"Las Vegas, NV",1830,1831,1,48,1919,2131,6,2111,2137,26,0,,0,N,341,366,312,1,2176,1,0,25,0,0,,,,
2019-02-20,AA,AA,AA,1713,AA,N945UW,1713,14100,PHL,"Philadelphia, PA",14122,PIT,"Pittsburgh, PA",1653,1654,1,69,1803,1905,6,1807,1911,64,0,,0,N,74,137,62,1,268,1,0,63,0,0,,,,
2019-02-20,DL,DL_CODESHARE,DL,5310,9E,N926XJ,5310,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",2107,727,620,32,759,835,2,2205,837,632,0,,0,N,58,70,36,1,152,0,620,12,0,0,,,,
2019-02-20,DL,DL_CODESHARE,DL,5318,9E,N920XJ,5318,11618,EWR,"Newark, NJ",13487,MSP,"Minneapolis, MN",1141,,,,,,,1350,,,1,C,0,N,189,,,1,1008,,,,,,,,,
2019-02-20,AA,AA_CODESHARE,AA,5685,OH,N218PS,5685,14100,PHL,"Philadelphia, PA",12244,HVN,"New Haven, CT",1100,1154,54,67,1301,1339,4,1210,1343,93,0,,0,N,70,109,38,1,157,14,0,39,0,40,,,,
2019-02-20,AA,AA_CODESHARE,AA,5692,OH,N720PS,5692,14100,PHL,"Philadelphia, PA",13931,ORF,"Norfolk, VA",2039,2127,48,27,2154,2235,5,2145,2240,55,0,,0,N,66,73,41,1,212,0,15,7,0,33,,,,
2019-02-20,DL,DL,DL,305,DL,N833MH,305,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",1355,1400,5,103,1543,1836,17,1726,1853,87,0,,0,N,391,473,353,1,2475,0,0,87,0,0,,,,
2019-02-20,DL,DL,DL,311,DL,N101DU,311,11298,DFW,"Dallas/Fort Worth, TX",11433,DTW,"Detroit, MI",730,727,-3,21,748,1038,8,1114,1046,-28,0,,0,N,164,139,110,1,986,,,,,,,,,
2019-02-20,DL,DL,DL,430,DL,N830DN,430,10397,ATL,"Atlanta, GA",14524,RIC,"Richmond, VA",2112,2142,30,45,2227,2335,4,2245,2339,54,0,,0,N,93,117,68,1,481,30,0,24,0,0,,,,
